,Unnamed: 0_fpl,player_id,name_fpl,display_slug,team_id,team,team_slug,position_fpl,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists_fpl,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,fbref_id_fpl,Unnamed: 0_fbref,name_fbref,profile_url,nationality,position_fbref,age,minutes_90s_x,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,passes_completed_x,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_fbref,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses_x,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed_y,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions_x,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,games,minutes,minutes_per_game,minutes_pct,minutes_90s_y,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions_y,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,fbref_id_fbref
0,0,1,Mesut Özil,Özil,1,arsenal,ARS,MID,0.0,0.0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,u,0,0.0,0.0,0.5,673,673,673,274,274,274,673,274,0,3441,54400,0.0,0.0,0,0,-3,3,0.0,0.0,67,0,109,0,0,0,0,0,0,0,0,0,,,,,,,16380240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,Sokratis Papastathopoulos,Sokratis,1,arsenal,ARS,DEF,0.0,0.0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,u,0,0.0,0.0,0.1,634,626,618,228,229,225,637,228,0,10266,19070,0.0,0.0,0,0,-2,2,0.0,0.0,48,0,18,0,0,0,0,0,0,0,0,0,,,,,,,b682dcf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,3,David Luiz Moreira Marinho,David Luiz,1,arsenal,ARS,DEF,1.8,1.0,,2021-02-02T20:30:22.388696Z,a,27,0.2,5.0,0.8,265,310,237,102,100,68,310,107,0,53492,104667,100.0,100.0,0,0,-1,1,1.0,0.5,54,764,1091,0,0,3,14,0,0,0,0,152,,,4.0,,,,c0e27d1a,10.0,David Luiz,https://fbref.com/en/players/c0e27d1a/David-Luiz,"['br', 'BRA']",DF,33 years and 310 days,10.9,0.0,11.0,0.0,0.0,1.01,0.0,0.0,3.0,0.0,0.0,0.7,0.7,0.06,-0.7,-0.7,595.0,712.0,83.6,13744.0,3565.0,123.0,134.0,91.8,334.0,361.0,92.5,134.0,202.0,66.3,0.0,0.4,-0.4,2.0,42.0,6.0,0.0,41.0,689.0,23.0,21.0,2.0,75.0,19.0,4.0,0.0,0.0,0.0,0.0,534.0,68.0,110.0,135.0,535.0,28.0,2.0,4.0,595.0,3.0,15.0,11.0,11.0,6.0,0.55,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,7.0,0.0,2.0,3.0,66.7,1.0,68.0,24.0,35.3,35.0,30.0,3.0,20.0,10.0,0.0,10.0,7.0,16.0,44.0,1.0,803.0,117.0,423.0,417.0,41.0,11.0,780.0,1.0,1.0,100.0,1.0,0.0,540.0,3933.0,2450.0,621.0,610.0,98.2,0.0,1.0,15.0,984.0,66.0,43.7,10.9,12.0,79.0,3.0,12.0,2.0,1.2,16.0,12.0,4.0,0.37,0.29,14.7,12.7,2.0,0.19,0.11,1.0,1.0,0.0,14.0,5.0,1.0,4.0,7.0,5.0,0.0,0.0,0.0,83.0,16.0,8.0,66.7,c0e27d1a
3,3,4,Pierre-Emerick Aubameyang,Aubameyang,1,arsenal,ARS,MID,4.5,4.8,,2021-01-23T16:00:22.555453Z,a,95,0.4,8.4,6.6,98,90,24,36,62,14,37,24,2,622551,3305037,100.0,100.0,0,0,-7,7,4.8,4.3,113,9696,16014,8,1,7,19,0,0,0,9,268,,,,,1.0,,d5dd5f1f,5.0,Pierre-Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,"['ga', 'GAB']",FW,31 years and 253 days,19.5,8.0,43.0,17.0,39.5,2.2,0.14,0.35,0.0,2.0,2.0,8.1,6.6,0.15,-0.1,-0.6,395.0,524.0,75.4,6102.0,1224.0,216.0,263.0,82.1,140.0,183.0,76.5,25.0,44.0,56.8,1.0,1.6,-0.6,16.0,14.0,24.0,9.0,42.0,508.0,16.0,1.0,5.0,106.0,6.0,41.0,1.0,0.0,0.0,0.0,370.0,77.0,77.0,58.0,426.0,14.0,3.0,6.0,395.0,6.0,5.0,11.0,18.0,35.0,1.79,28.0,0.0,2.0,2.0,3.0,5.0,0.26,5.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,7.0,1.0,3.0,16.0,18.8,13.0,234.0,59.0,25.2,37.0,95.0,102.0,20.0,2.0,0.0,18.0,3.0,14.0,12.0,0.0,687.0,16.0,90.0,287.0,357.0,97.0,670.0,8.0,17.0,47.1,9.0,0.0,468.0,2738.0,1656.0,930.0,541.0,58.2,25.0,18.0,21.0,1756.0,84.0,78.0,19.5,19.0,89.0,2.0,31.0,1.0,1.29,23.0,19.0,4.0,0.21,0.02,24.9,22.1,2.8,0.14,0.07,2.0,0.0,0.0,11.0,15.0,13.0,41.0,3.0,3.0,0.0,0.0,1.0,66.0,24.0,45.0,34.8,d5dd5f1f
4,4,5,Cédric Soares,Cédric,1,arsenal,ARS,DEF,3.4,1.8,,2020-09-23T09:00:14.881983Z,a,24,0.4,5.2,0.3,340,216,318,133,54,109,331,110,0,24851,46922,100.0,100.0,0,0,-4,4,1.8,1.3,46,538,2337,0,1,2,6,0,0,0,3,100,,,7.0,,,,839c14e1,16.0,Cédric Soares,https://fbref.com/en/players/839c14e1/Cedric-Soares,"['pt', 'POR']",DF,29 years and 179 days,5.8,0.0,5.0,1.0,20.0,0.87,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,233.0,315.0,74.0,3935.0,1498.0,120.0,141.0,85.1,87.0,114.0,76.3,23.0,50.0,46.0,1.0,0.9,0.1,6.0,20.0,6.0,2.0,18.0,257.0,58.0,15.0,0.0,40.0,7.0,18.0,0.0,0.0,0.0,0.0,181.0,65.0,69.0,40.0,211.0,13.0,43.0,3.0,233.0,1.0,11.0,10.0,11.0,12.0,2.08,7.0,2.0,2.0,0.0,0.0,3.0,0.52,2.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,1.0,2.0,4.0,17.0,23.5,13.0,79.0,29.0,36.7,40.0,24.0,15.0,10.0,1.0,0.0,9.0,6.0,18.0,12.0,0.0,371.0,20.0,104.0,174.0,112.0,9.0,314.0,4.0,5.0,80.0,4.0,0.0,203.0,1074.0,642.0,239.0,221.0,92.5,6.0,4.0,7.0,520.0,74.0,23.1,5.8,6.0,86.0,1.0,6.0,6.0,1.57,11.0,6.0,5.0,0.87,0.87,9.6,6.2,3.4,0.59,0.6,1.0,0.0,0.0,3.0,5.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,47.0,6.0,11.0,35.3,839c14e1
5,5,6,Alexandre Lacazette,Lacazette,1,arsenal,ARS,FWD,3.9,1.6,,2021-01-30T23:00:18.185183Z,a,81,0.2,10.0,4.1,81,102,31,9,12,14,41,12,2,1193958,1231382,100.0,100.0,-1,1,-4,4,1.6,1.1,81,3711,68852,8,2,6,11,0,0,0,11,280,,,3.0,,3.0,,9dbb75ca,7.0,Alexandre Lacazette,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette,"['fr', 'FRA']",FW,29 years and 274 days,14.8,8.0,29.0,20.0,69.0,1.96,0.24,0.35,2.0,1.0,1.0,6.1,5.3,0.18,1.9,1.7,261.0,339.0,77.0,3852.0,750.0,145.0,182.0,79.7,87.0,104.0,83.7,16.0,29.0,55.2,2.0,1.9,0.1,14.0,14.0,14.0,0.0,30.0,314.0,25.0,1.0,2.0,83.0,6.0,3.0,0.0,0.0,0.0,0.0,234.0,63.0,42.0,37.0,266.0,19.0,0.0,2.0,261.0,2.0,8.0,5.0,12.0,36.0,2.43,22.0,0.0,3.0,1.0,6.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,5.0,9.0,4.0,3.0,13.0,23.1,10.0,231.0,75.0,32.5,30.0,101.0,100.0,15.0,2.0,0.0,13.0,9.0,27.0,8.0,0.0,501.0,9.0,59.0,228.0,231.0,77.0,476.0,11.0,18.0,61.1,12.0,0.0,311.0,1107.0,441.0,603.0,344.0,57.0,22.0,22.0,21.0,1333.0,63.0,59.2,14.8,16.0,78.0,5.0,18.0,4.0,1.24,20.0,11.0,9.0,0.61,1.0,22.2,16.9,5.4,0.36,0.58,2.0,0.0,0.0,28.0,35.0,8.0,3.0,9.0,13.0,0.0,0.0,0.0,68.0,20.0,43.0,31.7,9dbb75ca
6,6,7,Shkodran Mustafi,Mustafi,1,arsenal,ARS,DEF,1.0,0.0,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,u,3,0.0,0.6,0.0,446,438,643,173,171,233,464,176,0,13464,14279,0.0,0.0,0,0,0,0,0.0,0.0,50,0,74,0,0,0,1,0,0,0,0,16,,,,,,,3f2d59fe,26.0,Shkodran Mustafi,https://fbref.com/en/players/3f2d59fe/Shkodran-Mustafi,"['de', 'GER']",DF,28 years and 315 days,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,48.0,85.4,1100.0,210.0,2.0,2.0,100.0,31.0,34.0,91.2,8.0,12.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,47.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,6.0,1.0,44.0,0.0,1.0,0.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,7.0,2.0,28.6,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,52.0,4.0,19.0,37.0,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,40.0,325.0,210.0,42.0,42.0,100.0,0.0,0.0,3.0,47.0,16.0,2.1,0.5,0.0,0.0,3.0,16.0,6.0,2.0,0.0,1.0,-1.0,-1.91,-2.16,0.1,1.3,-1.2,-2.35,-2.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0,3f2d59fe
7,7,8,Bernd Leno,Leno,1,arsenal,ARS,GKP,3.8,2.0,,2021-02-02T20:30:22.406559Z,a,92,0.4,18.4,6.7,44,649,645,13,68,65,214,13,2,827857,974214,100.0,100.0,0,0,0,0,2.0,1.5,50,4114,22269,0,0,8,25,1,0,59,6,443,,,,,,,2628fd2b,0.0,Bernd Leno,https://fbref.com/en/players/2628fd2b/Bernd-Leno,"['de', 'GER']",GK,28 years and 359 days,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,818.0,81.3,15765.0,7892.0,187.0,187.0,100.0,337.0,338.0,99.7,137.0,289.0,47.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,612.0,206.0,48.0,1.0,71.0,10.0,0.0,0.0,0.0,0.0,0.0,561.0,23.0,234.0,102.0,585.0,2.0,0.0,111.0,665.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,866.0,715.0,848.0,20.0,0.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,458.0,1667.0,938.0,454.0,451.0,99.3,0.0,0.0,24.0,2141.0,89.0,95.2,23.8,24.0,89.0,0.0,0.0,0.0,1.42,31.0,25.0,6.0,0.25,1.08,32.0,28.8,3.2,0.13,0.15,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,2628fd2b
8,8,9,Granit Xhaka,Xhaka,1,arsenal,ARS,MID,2.4,2.2,,2020-12-13T22:30:16.182130Z,a,50,0.4,9.6,0.4,149,127,211,56,89,110,155,81,0,38022,75986,100.0,100.0,0,0,-3,3,2.2,1.7,52,479,820,1,2,7,19,0,0,0,1,272,,,1.0,,,,e61b8aee,4.0,Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,"['ch', 'SUI']",MF,28 years and 152 days,19.1,1.0,14.0,4.0,28.6,0.73,0.07,0.25,6.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,1225.0,1373.0,89.2,24796.0,6160.0,441.0,484.0,91.1,579.0,620.0,93.4,197.0,243.0,81.1,2.0,1.1,0.9,11.0,170.0,23.0,0.0,146.0,1326.0,47.0,39.0,3.0,163.0,38.0,3.0,0.0,0.0,0.0,0.0,1052.0,156.0,165.0,1068.0,203.0,68.0,7.0,5.0,1225.0,2.0,14.0,21.0,16.0,26.0,1.36,24.0,0.0,0.0,1.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,12.0,15.0,7.0,22.0,46.0,47.8,24.0,221.0,54.0,24.4,64.0,104.0,53.0,24.0,5.0,0.0,19.0,14.0,48.0,36.0,0.0,1522.0,79.0,397.0,998.0,237.0,9.0,1479.0,10.0,15.0,66.7,10.0,2.0,1089.0,5711.0,3072.0,1187.0,1128.0,95.0,4.0,13.0,21.0,1716.0,82.0,76.3,19.1,20.0,85.0,1.0,10.0,2.0,1.43,26.0,18.0,8.0,0.42,0.93,27.5,24.6,2.9,0.15,0.1,5.0,1.0,0.0,30.0,26.0,1.0,3.0,14.0,21.0,0.0,0.0,0.0,227.0,30.0,23.0,56.6,e61b8aee
9,9,10,Pablo Marí,Marí,1,arsenal,ARS,DEF,4.0,0.4,,2021-01-14T22:00:26.195009Z,a,16,0.1,3.6,0.1,357,385,406,138,144,154,388,143,0,32018,28595,100.0,100.0,0,0,-1,1,0.4,-0.1,44,295,448,0,0,2,2,0,0,0,1,77,,,,,,,aa54ec6f,18.0,Pablo Marí,https://fbref.com/en/players/aa54ec6f/Pablo-Mari,"['es', 'ESP']",DF,27 years and 179 days,4.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,206.0,231.0,89.2,4239.0,992.0,58.0,61.0,95.1,116.0,121.0,95.9,28.0,43.0,65.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,228.0,3.0,1.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,186.0,17.0,28.0,187.0,28.0,9.0,2.0,0.0,206.0,0.0,4.0,4.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,1.0,0.0,2.0,4.0,50.0,2.0,23.0,11.0,47.8,13.0,10.0,0.0,9.0,5.0,0.0,4.0,1.0,8.0,23.0,0.0,272.0,34.0,169.0,122.0,4.0,1.0,269.0,2.0,2.0,100.0,2.0,0.0,195.0,982.0,532.0,204.0,201.0,98.5,1.0,0.0,4.0,360.0,90.0,16.0,4.0,4.0,90.0,0.0,0.0,2.0,2.25,8.0,2.0,6.0,1.5,1.55,6.9,5.5,1.4,0.34,0.26,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,28.0,10.0,4.0,71.4,aa54ec6f
10,10,11,Héctor Bellerín,Bellerín,1,arsenal,ARS,DEF,3.8,4.2,,2020-12-13T22:30:16.198432Z,a,83,0.8,16.3,4.4,120,61,133,48,13,20,86,15,3,966194,1029329,100.0,100.0,0,0,1,-1,4.2,3.7,51,9675,21467,1,3,6,23,0,0,0,15,385,,,,,,,f874dd44,1.0,Héctor Bellerín,https://fbref.com/en/players/f874dd44/Hector-Bellerin,"['es', 'ESP']",DF,25 years and 344 days,21.2,1.0,11.0,4.0,36.4,0.52,0.09,0.25,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,973.0,1176.0,82.7,16274.0,4723.0,456.0,524.0,87.0,442.0,516.0,85.7,57.0,89.0,64.0,2.0,2.3,-0.3,21.0,51.0,28.0,9.0,77.0,1022.0,154.0,10.0,2.0,168.0,12.0,49.0,0.0,0.0,0.0,0.0,757.0,269.0,150.0,104.0,853.0,54.0,144.0,3.0,973.0,1.0,15.0,25.0,35.0,38.0,1.79,34.0,1.0,0.0,2.0,1.0,6.0,0.28,5.0,0.0,0.0,0.0,1.0,0.0,32.0,16.0,17.0,13.0,2.0,12.0,39.0,30.8,27.0,206.0,54.0,26.2,79.0,96.0,31.0,47.0,9.0,0.0,38.0,11.0,43.0,40.0,0.0,1358.0,53.0,386.0,612.0,432.0,45.0,1208.0,16.0,31.0,51.6,18.0,3.0,830.0,4081.0,2555.0,942.0,855.0,90.8,15.0,8.0,22.0,1910.0,87.0,84.9,21.2,22.0,87.0,0.0,0.0,2.0,1.36,24.0,23.0,1.0,0.05,-1.01,25.6,27.2,-1.6,-0.08,-1.33,8.0,0.0,0.0,21.0,7.0,1.0,49.0,11.0,16.0,1.0,0.0,0.0,197.0,31.0,32.0,49.2,f874dd44
11,11,13,Calum Chambers,Chambers,1,arsenal,ARS,DEF,0.0,0.0,,2020-08-15T10:00:11.386295Z,a,0,0.0,0.0,0.0,584,572,557,223,224,218,590,223,0,2689,2946,100.0,100.0,0,0,0,0,0.0,-0.5,45,102,128,0,0,0,0,0,0,0,0,0,,,,,,,dc6f5bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,14,Sead Kolasinac,Kolasinac,1,arsenal,ARS,DEF,2.0,0.0,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,u,2,0.0,0.4,0.1,464,410,408,175,154,155,463,175,0,5329,21345,0.0,0.0,0,0,-2,2,0.0,0.0,48,0,48,0,0,0,1,0,0,0,0,9,,,,,,,3935e52e,23.0,Sead Kolašinac,https://fbref.com/en/players/3935e52e/Sead-Kolasinac,"['ba', 'BIH']",DF,27 years and 251 days,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,64.0,84.4,801.0,177.0,30.0,35.0,85.7,22.0,24.0,91.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,60.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,6.0,54.0,2.0,4.0,3.0,0.0,54.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,14.0,36.0,18.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,51.0,170.0,113.0,52.0,50.0,96.2,1.0,0.0,1.0,90.0,90.0,4.0,1.0,1.0,90.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.83,1.4,1.9,-0.5,-0.55,-0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0,3935e52e
13,13,16,Rob Holding,Holding,1,arsenal,ARS,DEF,3.4,2.8,,2020-10-17T22:30:19.025474Z,a,74,0.6,16.4,4.2,70,270,227,25,72,62,180,50,1,787775,579511,100.0,100.0,0,0,0,0,2.8,2.3,45,7874,45586,0,1,8,19,0,0,0,6,386,,,,,,,d79a8c87,3.0,Rob Holding,https://fbref.com/en/players/d79a8c87/Rob-Holding,"['eng', 'ENG']",DF,25 years and 159 days,20.4,0.0,14.0,2.0,14.3,0.69,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1,1122.0,1263.0,88.8,25430.0,6935.0,281.0,295.0,95.3,610.0,655.0,93.1,227.0,303.0,74.9,1.0,0.2,0.8,4.0,79.0,6.0,0.0,75.0,1235.0,28.0,23.0,0.0,86.0,51.0,1.0,0.0,0.0,0.0,0.0,992.0,90.0,181.0,140.0,1038.0,55.0,5.0,5.0,1122.0,1.0,26.0,9.0,5.0,11.0,0.54,10.0,0.0,0.0,0.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,19.0,5.0,3.0,8.0,22.0,36.4,14.0,215.0,61.0,28.4,137.0,67.0,11.0,37.0,21.0,0.0,16.0,13.0,40.0,110.0,0.0,1478.0,239.0,801.0,729.0,49.0,19.0,1450.0,7.0,9.0,77.8,7.0,1.0,1010.0,5424.0,3241.0,1088.0,1054.0,96.9,3.0,6.0,22.0,1838.0,84.0,81.7,20.4,20.0,90.0,2.0,24.0,1.0,1.41,24.0,19.0,5.0,0.24,0.24,28.2,25.1,3.0,0.15,0.13,2.0,0.0,0.0,16.0,5.0,0.0,1.0,13.0,14.0,0.0,0.0,1.0,190.0,49.0,46.0,51.6,d79a8c87
14,14,17,Kieran Tierney,Tierney,1,arsenal,ARS,DEF,3.7,0.4,,2021-01-26T10:30:25.655770Z,a,67,0.1,12.9,4.1,137,45,171,57,9,38,93,18,1,759591,1240394,100.0,100.0,0,0,-3,3,0.4,-0.1,52,12784,7077,1,2,6,19,0,0,0,3,354,,,,,,,fce2302c,6.0,Kieran Tierney,https://fbref.com/en/players/fce2302c/Kieran-Tierney,"['sco', 'SCO']",DF,23 years and 266 days,17.9,1.0,10.0,3.0,30.0,0.56,0.1,0.33,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,849.0,1106.0,76.8,15951.0,4544.0,336.0,383.0,87.7,404.0,477.0,84.7,101.0,214.0,47.2,1.0,2.9,-1.9,26.0,45.0,25.0,9.0,80.0,951.0,155.0,12.0,0.0,115.0,23.0,75.0,0.0,0.0,0.0,0.0,689.0,185.0,232.0,798.0,110.0,43.0,143.0,1.0,849.0,2.0,27.0,9.0,36.0,43.0,2.4,33.0,2.0,4.0,1.0,3.0,4.0,0.22,1.0,0.0,2.0,0.0,1.0,0.0,20.0,12.0,7.0,9.0,4.0,6.0,17.0,35.3,11.0,121.0,40.0,33.1,49.0,51.0,21.0,35.0,8.0,0.0,27.0,11.0,31.0,52.0,0.0,1267.0,86.0,393.0,541.0,428.0,38.0,1114.0,16.0,27.0,59.3,17.0,0.0,823.0,4143.0,2573.0,905.0,831.0,91.8,14.0,12.0,18.0,1610.0,89.0,71.6,17.9,18.0,89.0,0.0,0.0,0.0,1.28,21.0,19.0,2.0,0.11,-0.31,23.9,20.7,3.2,0.18,0.19,3.0,0.0,0.0,7.0,12.0,0.0,75.0,11.0,12.0,1.0,0.0,0.0,157.0,15.0,30.0,33.3,fce2302c
