,player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,1,Mesut Özil,Özil,1,arsenal,ARS,MID,0.0,0.0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,n,0,0.0,0.0,0.5,625,625,625,248,248,248,625,248,0,3426,53247,0.0,0.0,0,0,-2,2,0.0,0.0,68,11,233,0,0,0,0,0,0,0,0,0,,,,,,
1,2,Sokratis Papastathopoulos,Sokratis,1,arsenal,ARS,DEF,0.0,0.0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,n,0,0.0,0.0,0.1,584,574,566,215,215,212,586,215,0,10261,18892,0.0,0.0,0,0,-2,2,0.0,0.0,48,3,40,0,0,0,0,0,0,0,0,0,,,,,,
2,3,David Luiz Moreira Marinho,David Luiz,1,arsenal,ARS,DEF,1.1,0.3,,2020-12-26T18:00:15.638627Z,a,9,0.1,1.7,0.7,263,299,268,100,94,83,302,99,0,40044,90966,100.0,75.0,0,0,-1,1,0.8,1.0,54,930,1095,0,0,0,9,0,0,0,0,70,,,4.0,,,
3,4,Pierre-Emerick Aubameyang,Aubameyang,1,arsenal,ARS,MID,3.5,2.7,,2020-12-19T20:30:20.434896Z,a,53,0.2,4.7,7.2,148,62,25,56,42,14,39,25,1,513707,3167057,100.0,100.0,-1,1,-7,7,3.2,3.7,113,5222,17434,3,1,5,16,0,0,0,4,154,,,,,1.0,
4,5,Cédric Soares,Cédric,1,arsenal,ARS,DEF,1.0,0.2,,2020-09-23T09:00:14.881983Z,a,1,0.0,0.2,0.2,571,559,547,211,212,207,574,212,0,4098,34941,100.0,100.0,0,0,-4,4,0.7,1.2,46,155,283,0,0,0,0,0,0,0,0,3,,,,,,
5,6,Alexandre Lacazette,Lacazette,1,arsenal,ARS,FWD,4.1,4.8,,,a,58,0.6,7.0,6.8,53,101,27,9,11,13,34,12,1,487251,481555,,,1,-1,-2,2,5.3,5.8,83,123266,15989,7,0,3,8,0,0,0,9,214,,,,,3.0,
6,7,Shkodran Mustafi,Mustafi,1,arsenal,ARS,DEF,1.0,0.2,,2020-08-15T10:00:11.331812Z,a,3,0.0,0.6,0.1,415,409,593,163,161,220,434,165,0,12904,12739,100.0,100.0,0,0,0,0,0.7,1.2,50,259,289,0,0,0,1,0,0,0,0,16,,,,,,
7,8,Bernd Leno,Leno,1,arsenal,ARS,GKP,3.9,4.3,,,a,67,0.9,13.7,9.5,35,592,586,13,62,61,195,13,2,590050,599136,,,0,0,-1,1,4.8,5.3,49,65030,19506,0,0,5,19,1,0,41,6,320,,,,,,
8,9,Granit Xhaka,Xhaka,1,arsenal,ARS,MID,2.2,2.0,,2020-12-13T22:30:16.182130Z,a,28,0.4,5.4,0.4,191,217,207,77,131,111,234,111,0,29838,65232,100.0,100.0,0,0,-3,3,2.5,3.0,52,1534,1407,1,0,4,12,0,0,0,1,136,,,1.0,,,
9,10,Pablo Marí,Marí,1,arsenal,ARS,DEF,4.7,2.3,,2020-08-15T10:00:11.357231Z,a,14,0.5,3.2,0.3,321,351,380,123,128,147,366,133,0,20776,4490,100.0,100.0,0,0,-1,1,2.8,3.3,44,9296,2345,0,0,2,1,0,0,0,1,63,,,,,,
