player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
1,Mesut Özil,Özil,1,arsenal,ARS,MID,0.0,0.0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,u,0,0.0,0.0,0.5,641,641,641,257,257,257,641,257,0,3441,53633,0.0,0.0,0,0,-3,3,0.0,0.0,67,3,202,0,0,0,0,0,0,0,0,0,,,,,,
2,Sokratis Papastathopoulos,Sokratis,1,arsenal,ARS,DEF,0.0,0.0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,u,0,0.0,0.0,0.1,599,589,582,219,219,215,602,219,0,10266,18947,0.0,0.0,0,0,-2,2,0.0,0.0,48,1,22,0,0,0,0,0,0,0,0,0,,,,,,
3,David Luiz Moreira Marinho,David Luiz,1,arsenal,ARS,DEF,2.0,2.2,,2020-12-26T18:00:15.638627Z,a,20,0.4,3.7,0.8,259,312,251,99,100,77,298,98,0,43086,92779,100.0,100.0,0,0,-1,1,2.7,2.7,54,1207,830,0,0,2,9,0,0,0,0,108,,,4.0,,,
4,Pierre-Emerick Aubameyang,Aubameyang,1,arsenal,ARS,MID,4.2,4.8,Personal Reasons - 75% chance of playing,2021-01-23T16:00:22.555453Z,d,71,0.4,6.3,7.1,114,70,20,39,49,12,32,22,1,558495,3209383,75.0,100.0,0,0,-7,7,4.0,5.3,113,35326,16409,5,1,7,16,0,0,0,6,202,,,,,1.0,
5,Cédric Soares,Cédric,1,arsenal,ARS,DEF,6.5,2.4,,2020-09-23T09:00:14.881983Z,a,13,0.5,2.8,0.2,381,302,400,151,93,151,387,145,0,6064,35767,100.0,100.0,0,0,-4,4,2.9,2.9,46,1729,490,0,1,1,0,0,0,0,3,42,,,,,,
6,Alexandre Lacazette,Lacazette,1,arsenal,ARS,FWD,3.9,6.2,,,a,62,0.7,7.5,6.2,65,95,22,9,8,9,34,11,1,810429,675948,,,0,0,-2,2,6.7,6.7,83,69721,54907,7,0,5,8,0,0,0,9,226,,,,,3.0,
7,Shkodran Mustafi,Mustafi,1,arsenal,ARS,DEF,1.0,0.2,,2020-08-15T10:00:11.331812Z,a,3,0.0,0.6,0.1,423,420,607,165,165,223,444,167,0,13260,13193,100.0,100.0,0,0,0,0,0.7,0.7,50,123,199,0,0,0,1,0,0,0,0,16,,,,,,
8,Bernd Leno,Leno,1,arsenal,ARS,GKP,4.2,6.6,,,a,79,1.3,15.8,9.2,33,613,609,13,65,63,205,13,2,745214,696971,,,0,0,0,0,7.1,7.1,50,31371,23830,0,0,7,19,1,0,44,6,367,,,,,,
9,Granit Xhaka,Xhaka,1,arsenal,ARS,MID,2.3,4.0,,2020-12-13T22:30:16.182130Z,a,34,0.8,6.5,0.4,171,213,200,66,131,106,218,101,0,33081,68743,100.0,100.0,0,0,-3,3,4.5,4.5,52,1171,1244,1,0,6,12,0,0,0,1,175,,,1.0,,,
10,Pablo Marí,Marí,1,arsenal,ARS,DEF,4.7,2.8,Calf injury - 75% chance of playing,2021-01-14T22:00:26.195009Z,d,14,0.6,3.2,0.2,339,358,389,131,132,149,371,137,0,31113,19425,75.0,75.0,0,0,-1,1,2.5,2.5,44,208,4299,0,0,2,1,0,0,0,1,63,,,,,,
11,Héctor Bellerín,Bellerín,1,arsenal,ARS,DEF,3.8,3.2,,2020-12-13T22:30:16.198432Z,a,61,0.6,12.0,5.0,142,58,152,58,12,31,92,17,3,884397,897349,100.0,100.0,0,0,1,-1,3.7,3.7,51,5472,34540,0,3,5,16,0,0,0,11,283,,,,,,
