element,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gameweek_x,fdr,total_points,total_points_cumulative,assists_in_prev_1,assists_in_prev_3,assists_in_prev_5,assists_in_prev_10,bonus_in_prev_1,bonus_in_prev_3,bonus_in_prev_5,bonus_in_prev_10,bps_in_prev_1,bps_in_prev_3,bps_in_prev_5,bps_in_prev_10,clean_sheets_in_prev_1,clean_sheets_in_prev_3,clean_sheets_in_prev_5,clean_sheets_in_prev_10,goals_conceded_in_prev_1,goals_conceded_in_prev_3,goals_conceded_in_prev_5,goals_conceded_in_prev_10,goals_scored_in_prev_1,goals_scored_in_prev_3,goals_scored_in_prev_5,goals_scored_in_prev_10,minutes_in_prev_1,minutes_in_prev_3,minutes_in_prev_5,minutes_in_prev_10,own_goals_in_prev_1,own_goals_in_prev_3,own_goals_in_prev_5,own_goals_in_prev_10,penalties_missed_in_prev_1,penalties_missed_in_prev_3,penalties_missed_in_prev_5,penalties_missed_in_prev_10,penalties_saved_in_prev_1,penalties_saved_in_prev_3,penalties_saved_in_prev_5,penalties_saved_in_prev_10,red_cards_in_prev_1,red_cards_in_prev_3,red_cards_in_prev_5,red_cards_in_prev_10,yellow_cards_in_prev_1,yellow_cards_in_prev_3,yellow_cards_in_prev_5,yellow_cards_in_prev_10,saves_in_prev_1,saves_in_prev_3,saves_in_prev_5,saves_in_prev_10,selected_in_prev_1,selected_in_prev_3,selected_in_prev_5,selected_in_prev_10,threat_in_prev_1,threat_in_prev_3,threat_in_prev_5,threat_in_prev_10,transfers_in_in_prev_1,transfers_in_in_prev_3,transfers_in_in_prev_5,transfers_in_in_prev_10,transfers_out_in_prev_1,transfers_out_in_prev_3,transfers_out_in_prev_5,transfers_out_in_prev_10,total_points_in_prev_1,total_points_in_prev_3,total_points_in_prev_5,total_points_in_prev_10,fdr_in_prev_1,fdr_in_prev_2,fdr_in_prev_3
1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,41394,0.0,-23,0,23,67,True,0,38,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41394.0,124266.0,207178.0,414816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,75.0,151.0,336.0,0.0,0.0,0.0,0.0,,,
2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4615,0.0,-2,0,2,48,True,0,38,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4615.0,13854.0,23100.0,46256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,17.0,39.0,0.0,0.0,0.0,0.0,,,
3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,62154,0.0,-280,136,416,54,True,0,38,3.0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62154.0,187692.0,313922.0,637675.0,0.0,0.0,0.0,21.0,136.0,452.0,990.0,1640.0,416.0,1517.0,3065.0,14512.0,0.0,0.0,0.0,1.0,,,
4,0,0,7,1,36.3,0,0,6.1,4.0,78,0,0,0,0,0,595366,21.0,37016,45147,8131,113,True,0,38,3.0,3,137,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,7.0,26.0,44.0,70.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,78.0,246.0,324.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595366.0,1731615.0,2891421.0,5875564.0,21.0,40.0,42.0,94.0,45147.0,92599.0,170257.0,239838.0,8131.0,20995.0,35613.0,313247.0,3.0,11.0,17.0,29.0,,,
5,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,21199,0.0,-482,188,670,46,True,0,38,3.0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21199.0,65782.0,111614.0,246974.0,0.0,0.0,0.0,0.0,188.0,555.0,1073.0,13261.0,670.0,3437.0,8037.0,20339.0,0.0,0.0,0.0,0.0,,,
6,0,0,1,0,0.8,0,0,0.1,0.6,11,0,0,0,0,0,350318,0.0,-2730,13406,16136,84,True,0,38,3.0,1,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,10.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,22.0,63.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350318.0,1082132.0,1839912.0,4550587.0,0.0,0.0,0.0,64.0,13406.0,33483.0,55591.0,499801.0,16136.0,68248.0,156008.0,710158.0,1.0,2.0,4.0,20.0,,,
7,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3321,0.0,-12,0,12,50,True,0,38,3.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321.0,10003.0,16701.0,33568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,45.0,112.0,0.0,0.0,0.0,0.0,,,
8,0,1,27,1,0.0,0,0,0.9,8.8,90,0,0,0,0,1,602893,0.0,37956,44186,6230,50,True,0,38,3.0,7,142,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,27.0,76.0,115.0,150.0,1.0,2.0,3.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,90.0,270.0,450.0,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,14.0,17.0,602893.0,1729822.0,2860126.0,5772051.0,0.0,0.0,0.0,2.0,44186.0,60192.0,72352.0,161618.0,6230.0,31192.0,72448.0,141439.0,7.0,19.0,30.0,38.0,,,
9,0,0,18,1,36.0,0,0,8.0,22.2,90,0,0,0,0,0,34019,22.0,2,267,265,52,True,0,38,3.0,3,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,21.0,75.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,102.0,102.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34019.0,103375.0,174145.0,351111.0,22.0,22.0,22.0,38.0,267.0,910.0,2142.0,4836.0,265.0,1562.0,3248.0,7076.0,3.0,4.0,4.0,13.0,,,
10,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7029,0.0,-123,318,441,44,True,0,38,3.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,52.0,90.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7029.0,21516.0,36204.0,72629.0,0.0,0.0,0.0,0.0,318.0,1124.0,2102.0,5573.0,441.0,1260.0,2482.0,5535.0,0.0,6.0,12.0,19.0,,,
