first_name,second_name,position,team_name,element,full_name,season,unique_id
Aaron,Cresswell,DEF,West Ham,376,Aaron_Cresswell,1920,1920_376_West Ham
Aaron,Lennon,MID,Burnley,430,Aaron_Lennon,1920,1920_430_Burnley
Aaron,Mooy,MID,Brighton,516,Aaron_Mooy,1920,1920_516_Brighton
Aaron,Ramsdale,GKP,Bournemouth,494,Aaron_Ramsdale,1920,1920_494_Bournemouth
Aaron,Wan-Bissaka,DEF,Man Utd,122,Aaron_Wan-Bissaka,1920,1920_122_Man Utd
Abdoulaye,Doucouré,MID,Watford,368,Abdoulaye_Doucouré,1920,1920_368_Watford
Adama,Traoré,MID,Wolves,417,Adama_Traoré,1920,1920_417_Wolves
Adam,Lallana,MID,Liverpool,195,Adam_Lallana,1920,1920_195_Liverpool
Adam,Masina,DEF,Watford,355,Adam_Masina,1920,1920_355_Watford
Adam,Smith,DEF,Bournemouth,63,Adam_Smith,1920,1920_63_Bournemouth
Adam,Webster,DEF,Brighton,493,Adam_Webster,1920,1920_493_Brighton
Ademola,Lookman,MID,Everton,155,Ademola_Lookman,1920,1920_155_Everton
Adrian,Mariappa,DEF,Watford,356,Adrian_Mariappa,1920,1920_356_Watford
Adrián,San Miguel del Castillo,GKP,Liverpool,526,Adrián_San Miguel del Castillo,1920,1920_526_Liverpool
Ahmed,El Mohamady,DEF,Aston Villa,22,Ahmed_El Mohamady,1920,1920_22_Aston Villa
Ainsley,Maitland-Niles,DEF,Arsenal,4,Ainsley_Maitland-Niles,1920,1920_4_Arsenal
Albian,Ajeti,FWD,West Ham,514,Albian_Ajeti,1920,1920_514_West Ham
Alexander,Tettey,MID,Norwich,289,Alexander_Tettey,1920,1920_289_Norwich
Alexandre Nascimento,Costa Silva,FWD,West Ham,387,Alexandre Nascimento_Costa Silva,1920,1920_387_West Ham
Alexandre,Lacazette,FWD,Arsenal,12,Alexandre_Lacazette,1920,1920_12_Arsenal
Alexis,Sánchez,MID,Man Utd,240,Alexis_Sánchez,1920,1920_240_Man Utd
Alex,Iwobi,MID,Everton,17,Alex_Iwobi,1920,1920_17_Everton
Alex,McCarthy,GKP,Southampton,318,Alex_McCarthy,1920,1920_318_Southampton
Alex,Oxlade-Chamberlain,MID,Liverpool,193,Alex_Oxlade-Chamberlain,1920,1920_193_Liverpool
Alireza,Jahanbakhsh,MID,Brighton,50,Alireza_Jahanbakhsh,1920,1920_50_Brighton
Alisson,Ramses Becker,GKP,Liverpool,189,Alisson_Ramses Becker,1920,1920_189_Liverpool
Allan,Saint-Maximin,MID,Newcastle,500,Allan_Saint-Maximin,1920,1920_500_Newcastle
Andreas,Christensen,DEF,Chelsea,108,Andreas_Christensen,1920,1920_108_Chelsea
Andreas,Pereira,MID,Man Utd,246,Andreas_Pereira,1920,1920_246_Man Utd
Andrew,Robertson,DEF,Liverpool,181,Andrew_Robertson,1920,1920_181_Liverpool
Andrew,Surman,MID,Bournemouth,80,Andrew_Surman,1920,1920_80_Bournemouth
